Label,Row,Col,Robot_X_mm,Robot_Y_mm,Pixel_X,Pixel_Y,Has_Piece,Piece_Name,Point_Source
A1,A,1,119.0,-200.0,43,38,0,,reference
A2,A,2,89.1,-200.4,128,47,1,maden,piece_center
A3,A,3,59.6,-200.4,180,39,0,,reference
A4,A,4,29.7,-200.9,249,40,0,,reference
A5,A,5,0.2,-200.9,338,43,1,tuongden,piece_center
A6,A,6,-29.7,-201.3,407,43,1,siden,piece_center
A7,A,7,-59.2,-201.3,472,47,1,tinhden,piece_center
A8,A,8,-88.7,-200.9,522,40,0,,reference
A9,A,9,-119.0,-200.9,592,40,0,,reference
B1,B,1,119.0,-226.1,43,98,0,,reference
B2,B,2,89.5,-226.1,111,98,0,,reference
B3,B,3,59.6,-226.1,180,98,0,,reference
B4,B,4,29.7,-227.0,249,100,0,,reference
B5,B,5,0.2,-226.6,338,105,1,siden,piece_center
B6,B,6,-29.7,-227.0,386,100,0,,reference
B7,B,7,-59.2,-227.0,454,100,0,,reference
B8,B,8,-89.1,-227.0,523,100,0,,reference
B9,B,9,-119.0,-227.0,592,100,0,,reference
C1,C,1,119.0,-251.8,43,157,0,,reference
C2,C,2,89.1,-252.3,112,158,0,,reference
C3,C,3,59.6,-252.7,180,159,0,,reference
C4,C,4,29.7,-252.7,249,159,0,,reference
C5,C,5,0.2,-252.7,335,168,1,tinhden,piece_center
C6,C,6,-29.3,-253.1,385,160,0,,reference
C7,C,7,-59.2,-252.7,454,159,0,,reference
C8,C,8,-88.7,-252.7,522,159,0,,reference
C9,C,9,-119.0,-252.7,592,159,0,,reference
D1,D,1,119.4,-278.0,66,231,1,totden,piece_center
D2,D,2,89.5,-278.0,111,217,0,,reference
D3,D,3,59.6,-278.4,195,231,1,phaodo,piece_center
D4,D,4,30.1,-278.4,248,218,0,,reference
D5,D,5,0.2,-278.8,317,219,0,,reference
D6,D,6,-29.3,-278.8,385,219,0,,reference
D7,D,7,-59.2,-278.8,454,219,0,,reference
D8,D,8,-89.1,-278.8,523,219,0,,reference
D9,D,9,-119.0,-278.8,611,220,1,totden,piece_center
E1,E,1,119.4,-303.7,42,276,0,,reference
E2,E,2,89.5,-304.1,111,277,0,,reference
E3,E,3,59.6,-304.1,180,277,0,,reference
E4,E,4,30.1,-304.1,248,277,0,,reference
E5,E,5,0.2,-304.5,336,281,1,xeden,piece_center
E6,E,6,-29.3,-304.5,385,278,0,,reference
E7,E,7,-59.2,-304.5,454,278,0,,reference
E8,E,8,-88.7,-304.5,522,278,0,,reference
E9,E,9,-119.0,-305.0,592,279,0,,reference
F1,F,1,119.9,-334.2,41,346,0,,reference
F2,F,2,90.0,-334.2,110,346,0,,reference
F3,F,3,59.6,-334.2,198,357,1,totdo,piece_center
F4,F,4,30.1,-334.2,248,346,0,,reference
F5,F,5,0.2,-334.2,317,346,0,,reference
F6,F,6,-29.3,-334.2,385,346,0,,reference
F7,F,7,-59.2,-334.2,479,347,1,phaodo,piece_center
F8,F,8,-89.1,-334.2,523,346,0,,reference
F9,F,9,-119.0,-334.2,592,346,0,,reference
G1,G,1,119.9,-360.3,62,403,1,totdo,piece_center
G2,G,2,90.0,-360.3,134,403,1,mado,piece_center
G3,G,3,60.0,-360.3,179,406,0,,reference
G4,G,4,30.1,-360.3,248,406,0,,reference
G5,G,5,0.2,-360.3,333,410,1,phaoden,piece_center
G6,G,6,-29.3,-360.3,385,406,0,,reference
G7,G,7,-59.2,-360.3,481,411,1,phaoden,piece_center
G8,G,8,-89.1,-360.3,523,406,0,,reference
G9,G,9,-119.4,-360.3,611,405,1,totdo,piece_center
H1,H,1,120.3,-386.9,40,467,0,,reference
H2,H,2,90.4,-386.4,109,466,0,,reference
H3,H,3,60.5,-386.4,178,466,0,,reference
H4,H,4,30.1,-386.0,248,465,0,,reference
H5,H,5,0.2,-386.4,342,471,1,tinhdo,piece_center
H6,H,6,-29.7,-386.4,386,466,0,,reference
H7,H,7,-59.6,-386.4,455,466,0,,reference
H8,H,8,-89.5,-386.4,524,466,0,,reference
H9,H,9,-119.9,-386.4,594,466,0,,reference
I1,I,1,120.7,-413.4,39,528,0,,reference
I2,I,2,90.4,-413.0,109,527,0,,reference
I3,I,3,60.5,-413.0,178,527,0,,reference
I4,I,4,30.1,-413.0,248,527,0,,reference
I5,I,5,0.2,-413.0,343,532,1,sido,piece_center
I6,I,6,-29.7,-413.0,386,527,0,,reference
I7,I,7,-60.0,-413.0,456,527,0,,reference
I8,I,8,-90.0,-413.0,525,527,0,,reference
I9,I,9,-120.3,-413.0,595,527,0,,reference
J1,J,1,120.7,-440.0,39,589,0,,reference
J2,J,2,90.8,-439.6,108,588,0,,reference
J3,J,3,60.5,-439.6,178,588,0,,reference
J4,J,4,30.1,-439.6,248,588,0,,reference
J5,J,5,0.2,-439.6,344,599,1,tuongdo,piece_center
J6,J,6,-29.7,-439.6,415,594,1,sido,piece_center
J7,J,7,-60.0,-439.6,484,594,1,tinhdo,piece_center
J8,J,8,-90.0,-439.6,525,588,0,,reference
J9,J,9,-120.7,-440.0,596,589,0,,reference
